ID,EBI_sum,EDI_total,ASC_Unity,ASC_Spiritual,ASC_Bliss,ASC_Insight,ASC_Disembodiment,ASC_Imp Contr Cogn,ASC_Anxiety,ASC_Complex im,ASC_Elem im,ASC_Aud-Vis,ASC_Changed Meaning,CEQ_Fear,CEQ_Grief,CEQ_Physical distress,CEQ_Insanity,CEQ_Isolation,CEQ_Death,CEQ_Paranoia,CEQ_Total,MEQ_Mystical,MEQ_PosiMood,MEQ_SpaceTime,MEQ_Ineffability,MEQ_Total
ht8b5kGQmYUA05EkwSK0zT3wnHn4n3hl',0,22.5,51,33.333333333333336,88.66666666666667,41.666666666666664,25,4.285714285714286,1.6666666666666667,71.66666666666667,65,71.66666666666667,8.333333333333334,0,10,0,6.666666666666667,0,0,0,3.076923076923077,12,66.66666666666667,13.333333333333334,0,22
hzY09QBdjQoDQEr5xfDCY0n2zoJI1jH6',12,36.125,68,94.66666666666667,82,92,34,4.285714285714286,5.333333333333333,64.33333333333333,92.33333333333333,65,39,8,6.666666666666667,0,33.333333333333336,0,0,0,6.923076923076923,85.33333333333333,63.333333333333336,56.666666666666664,93.33333333333333,76
i1oJmLg8xF5jq8YNcHBoRbPLCO7RgoFt',298,64.625,71.4,26.666666666666668,74.66666666666667,16,0,4.142857142857143,0,35.666666666666664,4.333333333333333,25,30,4,13.333333333333334,40,0,13.333333333333334,0,0,13.076923076923077,52,70,56.666666666666664,26.666666666666668,54
i2vbS9rU5QnaGURIaYHM6xyxAufb9odo',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
i3mWXd4jXYSRT3Rcag4Pl5EpuLADYRXT',542,82.875,75.6,36.333333333333336,71.66666666666667,61,60.666666666666664,9.285714285714286,0,100,81,100,65.66666666666667,8,0,8,0,0,0,0,3.076923076923077,78.66666666666667,90,76.66666666666667,100,82.66666666666667
i6MDp1TGaJfidha0I10Xa2B9jNbGgnCF',435,8,14.8,23,50.666666666666664,76.66666666666667,0,5,3.3333333333333335,46.333333333333336,47.333333333333336,36.333333333333336,13,12,10,12,0,0,0,0,6.923076923076923,22.666666666666668,60,23.333333333333332,60,34
iF6pxHXJ5hobZ7QCJtUuWoxmbndREPEv',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iVou4OzPiPBhEleR2Lv0xHXWGWum8xCm',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iXCfo7Z1B19dY9zklSfJUfozQGeh2zVE',51,3.375,13.6,33.333333333333336,5.333333333333333,18.666666666666668,21.666666666666668,9.714285714285714,0,48.333333333333336,0,0,4.333333333333333,4,0,8,0,20,0,0,4.615384615384615,34.666666666666664,30,13.333333333333334,40,30
iaAeI0inHFDYUZDRg4wxc9J3Xek0573r',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iaUPhHtYpOTqBDPJuXi1XXQWm7egcf5F',214,37.625,68.2,44.333333333333336,100,63.333333333333336,60,13.571428571428571,13.666666666666666,55,80.33333333333333,90.33333333333333,60.666666666666664,0,0,12,0,0,0,0,2.3076923076923075,66.66666666666667,93.33333333333333,60,100,74
iaxFEM4rxD5BVE25YYey23YU7PBRtE1R',499,85.25,54.8,89,93,74.66666666666667,17.666666666666668,28.857142857142858,50.333333333333336,94.66666666666667,74.66666666666667,81.66666666666667,71,64,40,60,26.666666666666668,6.666666666666667,0,20,38.46153846153846,80,80,50,80,74
ihS5J1GFNdePBfiGBzean7hRaB1y2wWt',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
